,idx,source_prompt,target_prompt,instructions
470,377212-output2,"A cool dog with a skate board and a backwards baseball cap with the letter ""A"" in a field","A sophisticated dog with a skate board, a backwards baseball cap with the letter ""A"", and a smoking pipe in a field",Have the dog be smoking a pipe
471,87017-input,A young woman on a cellphone is leading a horse through a plaza nearby some retail stores and pedestrians.,A horse stands in a plaza nearby some retail stores and pedestrians.,remove the woman from the picture
472,87017-output1,A horse stands in a plaza nearby some retail stores and pedestrians.,A unicorn stands in a plaza nearby some retail stores and pedestrians.,give the horse a horn
473,87135-input,A white van parked in a parking lot next to a forest,White van parked at a stop sign in a parking lot next to a forest,let there be a stop sign and only one road sign
474,87135-output1,White van parked at a stop sign in a parking lot next to a forest,Herd of sheep walking near road signs as a white van parks at a stop sign in a parking lot next to a forest,let a herd of sheep walk near the road signs
475,458763-input,some random things are layed out on a wood table,Painting of Santa Claus among random things laid out on a wood table,Have there be a painting of Santa Claus
476,538116-input,Several various items sitting on and near a purse.,Several various items sitting on and near a purse with a soda can instead of water.,Let the water be replaced by a soda can.
477,286656-input,A cow drinking milk from baby bottle with an orange top.,A cow being fed milk with a syringe with an orange top.,turn the bottle into a syringe
478,286656-output1,A cow being fed milk with a syringe with an orange top.,A cow being fed milk with a syringe with an orange top from a blue bucket.,make the bucket blue
479,355677-input,a life guard station with a surf boar and a floatee,"Life guard station with a surf board, floatee, and sandcastle on the beach.",Build a sandcastle on the beach.
480,342387-input,A group of people preparing food in a kitchen.,A group of chefs preparing food in a kitchen.,change the hats into chef hats
481,554364-input,A photo of a kitchen from the 1960s.,A photo of a kitchen from the 1960s with a ninja.,Add a ninja.
482,188439-input,A colorful truck is driving with a full load of sticks and twigs.,A colorful truck driving on a dirt road with a full load of sticks and twigs.,The truck is driving on a dirt road
483,407574-input,A green stand holding several bananas for sale.,A person standing to the left of a green stand holding several bananas for sale.,Add a person to the left of the bananas.
484,407574-output1,A person standing to the left of a green stand holding several bananas for sale.,A person standing to the left of a green stand holding several ripe bananas for sale.,Change the unripe bananas on the top to ripe.
485,407574-output2,A person standing to the left of a green stand holding several ripe bananas for sale.,A person standing to the left of a green stand holding several ripe bananas for sale with a metal pole.,Change the wooden pole to a metal pole.
486,97579-input,There is a woman holding a remote control and a man looking at it.,A woman holding a remote control and a man looking at the camera.,make the man look at the camera
487,97579-output1,A woman holding a remote control and a man looking at the camera.,A woman holding a banana and a remote control while a man looks at the camera.,make the woman hold a banana
488,97579-output2,A woman holding a banana and a remote control while a man looks at the camera.,"A woman holding a banana and a remote control while looking at the camera, as a man looks on.",make the woman look at the camera
489,556775-input,This neat living room has a pristine couch and a small desk with a laptop on it.,This neat living room has a pristine couch and a small desk.,remove the lap top
490,556775-output1,This neat living room has a pristine couch and a small desk.,This cozy living room features a furry friend lounging on the pristine couch and a small desk.,put a dog on the couch
491,229171-input,Two laptop computers positioned on a table top in front of a television.,"One laptop computer showing a picture of an elephant, positioned on a table top in front of a television with another laptop.",Have one of the laptops be showing a picture of an elephant
492,229171-output1,"One laptop computer showing a picture of an elephant, positioned on a table top in front of a television with another laptop.","Two laptop computers showing pictures of elephants, positioned on a table top in front of a television.",Have the other laptop also be showing a picture of an elephant
493,191193-input,A dog hanging out of a second story window.,A brown dog hanging out of a second story window.,Let the dog be brown.
494,442414-input,A man rides a horse down train tracks while a woman walks.,A man rides a lion down train tracks while a woman walks.,change the horse to a lion
495,442414-output1,A man rides a lion down train tracks while a woman walks.,A man rides a lion down train tracks while a little boy walks.,change the woman to a little boy
496,442414-output2,A man rides a lion down train tracks while a little boy walks.,A man rides a lion down train tracks while a little boy walks beside a passing train.,add a train
497,513484-input,A large brown bear standing next to a pile of rocks.,A large brown bear wearing a shirt standing next to a pile of rocks.,Have the bear wear a shirt.
498,513484-output1,A large brown bear wearing a shirt standing next to a pile of rocks.,A large brown bear wearing a shirt and a hat standing next to a pile of rocks.,Put a hat on the bear.
499,507918-input,A herd of deer walking across a rocky hillside.,Photographer captures a herd of deer walking across a rocky hillside.,Have someone be taking pictures of the goats
500,62398-input,Black and white cat sleeping on blankets with collars.,Black and white cat standing on blankets with collars.,make the cat stand
501,62398-output1,Black and white cat standing on blankets with collars.,White cat standing on blankets with collar.,leave only the white cat
502,540100-input,Broccoli and cheese over chicken on a plate.,Rice with broccoli and cheese on a plate.,"change the chicken, broccoli and cheese into rice"
